"CROSSTAB TITLE : asian_female"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 03/30/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",,"MEAT ALTERNATIVES - HH USES?_DON'T KNOW/NO ANSWER",
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_18 - 24) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_18 - 24) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_25 - 34) ) ","Sample",14,**,9,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",156,**,103,**,54,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_25 - 34) ) ","Vertical %",0.1%,**,0.2%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,66%,**,34.6%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_25 - 34) ) ","Index",100,**,238,**,49,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_35 - 44) ) ","Sample",10,**,3,**,7,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",143,**,101,**,41,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_35 - 44) ) ","Vertical %",0.1%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,70.6%,**,28.7%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_35 - 44) ) ","Index",100,**,255,**,40,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_45 - 54) ) ","Sample",13,**,6,**,7,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",174,**,120,**,54,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_45 - 54) ) ","Vertical %",0.1%,**,0.2%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,69%,**,31%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_45 - 54) ) ","Index",100,**,249,**,44,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_55 - 64) ) ","Sample",6,**,2,**,4,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_55 - 64) ) ","Weighted(000)",19,**,2,**,17,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_55 - 64) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,10.5%,**,89.5%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_55 - 64) ) ","Index",100,**,38,**,126,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_65+) ) ","Sample",3,**,1,**,2,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_65+) ) ","Weighted(000)",5,**,0,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_65+) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_65+) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_18 - 24) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",7,**,0,**,7,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_18 - 24) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_18 - 24) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_25 - 34) ) ","Sample",10,**,4,**,6,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",68,**,23,**,45,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_25 - 34) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,33.8%,**,66.2%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_25 - 34) ) ","Index",100,**,122,**,93,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_35 - 44) ) ","Sample",14,**,6,**,8,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",296,**,117,**,179,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_35 - 44) ) ","Vertical %",0.1%,**,0.2%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,39.5%,**,60.5%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_35 - 44) ) ","Index",100,**,143,**,85,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_45 - 54) ) ","Sample",19,**,6,**,13,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",108,**,41,**,66,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_45 - 54) ) ","Vertical %",0%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,38%,**,61.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_45 - 54) ) ","Index",100,**,137,**,86,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_55 - 64) ) ","Sample",21,**,1,**,18,**,2,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_55 - 64) ) ","Weighted(000)",115,**,1,**,114,**,1,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_55 - 64) ) ","Vertical %",0%,**,0%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,0.9%,**,99.1%,**,0.9%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_55 - 64) ) ","Index",100,**,3,**,139,**,74,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_65+) ) ","Sample",7,**,3,**,4,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_65+) ) ","Weighted(000)",20,**,15,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_65+) ) ","Horizontal %",100%,**,75%,**,25%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$75,000 - $99,999)  AND  (AGE_65+) ) ","Index",100,**,271,**,35,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_18 - 24) ) ","Sample",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_18 - 24) ) ","Horizontal %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_18 - 24) ) ","Index",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_25 - 34) ) ","Sample",10,**,5,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",78,**,43,**,34,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_25 - 34) ) ","Vertical %",0%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,55.1%,**,43.6%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_25 - 34) ) ","Index",100,**,199,**,61,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_35 - 44) ) ","Sample",21,**,8,**,13,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",122,**,35,**,87,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_35 - 44) ) ","Vertical %",0%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,28.7%,**,71.3%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_35 - 44) ) ","Index",100,**,104,**,100,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_45 - 54) ) ","Sample",21,**,7,**,14,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",224,**,89,**,135,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_45 - 54) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,39.7%,**,60.3%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_45 - 54) ) ","Index",100,**,143,**,85,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_55 - 64) ) ","Sample",9,**,2,**,6,**,1,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_55 - 64) ) ","Weighted(000)",56,**,2,**,53,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_55 - 64) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,3.6%,**,94.6%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_55 - 64) ) ","Index",100,**,13,**,133,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_65+) ) ","Sample",2,**,1,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_65+) ) ","Weighted(000)",1,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_65+) ) ","Horizontal %",100%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (AGE_65+) ) ","Index",100,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_18 - 24) ) ","Sample",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_18 - 24) ) ","Horizontal %",0%,**,0%,**,0%,**,0%,**
