"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,33.3%,**,66.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,120,**,94,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",22,**,4,**,18,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",113,**,7,**,107,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,6.2%,**,94.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,22,**,133,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",4,**,0,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",30,**,0,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",46,**,46,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,33.3%,**,66.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,120,**,94,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",25,**,11,**,14,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",71,**,52,**,19,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,73.2%,**,26.8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,264,**,38,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,3,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",15,**,14,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,93.3%,**,6.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,337,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,2,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",13,**,13,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",6,**,2,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",25,**,23,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,92%,**,8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,332,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",25,**,11,**,14,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",71,**,52,**,19,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,73.2%,**,26.8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,264,**,38,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,3,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",15,**,14,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,93.3%,**,6.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,337,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,2,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",13,**,13,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",6,**,2,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",25,**,23,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,92%,**,8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$ 7,500 - $ 9,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,332,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",14,**,2,**,12,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",154,**,14,**,140,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,9.1%,**,90.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,33,**,128,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",19,**,9,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,47.4%,**,47.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,171,**,67,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,0,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",15,**,0,**,15,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
