Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
"Mouse's
  Favourite",UK-based producer of plant-based artisan cheese.,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,Europe,United Kingdom,,,https://mousesfavourite.com/,2016,,MF-logo-new-small.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/t5UEGPPs8CJppKE-1VLCmA/Kqoq9BB-iByP8PH9lxQRAwnDtjMCzUIR2ly-e_1Cu5-W_E-mqCpUSje3d2gawpe7K2LaxWyTrOsDc47bMHshaWEpDGQxmi0PvBE_UrDBgIA/KgCnSAeJvClJuT--0OV97wqzaYCINU-In9UV7dEatXY)
Jus'Amazing,India-based company that produces nut butters and spreads as well as one offering of almond milk. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Almond,Asia Pacific,India ,,Bangalore,https://www.jusamazin.com/,2017,,jusamazin.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/x__3r7y2G70yaSmAu544dQ/8nBbABgP3R7Lw5JXiCauMvULiHH5hMaDU5CUVpaQN-VsARe2GaQs7NC5PDFWPxOSQ-bH5LNVtHhxUPTv9gA2O6oIl1RMAk2K9R-bM4erh64/EnUKMcce-GLdl5u1iZIKlHD3dysREP3I6ukZ5sOVvaE)
MozzaRisella,Italian producer of sprouted rice-based mozzarella cheese. ,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Rice,Europe,Italy,Treviso,Caerano di San Marco,https://www.mozzarisella.com/en/product/mozzarisella-classica/,2017,,logo-mozzarisella.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/7RmE0Xj9BrPcZhsrVe6M9g/8JEVsn4v4ZxUMG2RP4oMnDnquLnp22uKU8B-veIlaxtDSbQaq4IfFxaTmEWy965vumNQbqTYg9dTjX5pqZsBbPIkceIJ_0nGG2ERNAQ8FMo/bVltfCldSxEYCBt4On_9e0LU43iBQf0ec2cdmwVGkjM)
"Windau
  GmbH",Popular German meat company offering a line of vegan pulled pork sausage,Plant-based,Meat,End product formulation and manufacturing,Other meat,"Beef/veal,Pork","Wheat,Potato",Europe,Germany,Nordrhein-Westfalen,Harsewinkel,http://windau.de/Windau/de/produktwelt/vegetarische-produkte/,1976,,windau.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GjO30CmCp74q5fuIqxjExQ/IOUaraK6BhtoqctiEQtD5UunY64ijy2aVP2-avImhbH85Sb9QbncUYHeq6gUzBv5GElJCCKff1kk_xo_Kz2RmFti5KaII3lhSueHfakwB9E/tQSQcWZPjEA87Zv64Icjpo_RVxKj5Y_P63XV-dOa_4s)
Nestlé,Multinational manufacturer of food products that is working with Switzerland-based Future Meat Technologies to explore cultivated meat,"Plant-based,Cultivated","Contract manufacturing/processing,Meat,Seafood",End product formulation and manufacturing,"Ground meat,Milk,Whole muscle meat","Beef/veal,Chicken,Fish,Shellfish,Tuna",Soy,Europe,Switzerland,,Vevey,https://www.nestle.com/,1866,,logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZjB2ImYO1rbmGjZpaO8vcw/O852JCEARLwXPs5OKLiGmVRH9QVF6aZYLHCju1oS_EcjyH8AQH7b6u4IpCpOMv-iReQ0E9WFDH4yShcTqtNB7w/CdyByUilQ09YfPbnsYQgVJ9qOnwcD0AW53T77WtDh9o)
La Petite Fromagerie,"French producer of animal-based cheeses, cream cheeses, along with a few vegan options",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,,Europe,France,Rhône,Clermont Ferrand,https://lapetitefromagerie.ph/,,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/3QJeFOUv_AkJO230OhApGg/_0OfD9h1xTBoxhIDC4N53baKCDyUua-geicfbTK4JrlN9xP2BCRevJ9YA8WvxK0p_c4o8daKvsuBdxzIFktUi4RZfAxA4P9FF9Oe7p5hkfw/9FzWURUCHYiDq2gLNaZ_hQm_717rKXNfTW1yRCx5A88)
Provamel,Germany-based plant-based milk and yogurt producer.,Plant-based,Dairy,End product formulation and manufacturing,"Other dairy,Milk",,"Oat,Almond,Soy,Coconut,Rice",Europe,Germany,,Düsseldorf,https://www.provamel.com/uk,1983,,logo (5).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/4mOSZBnymvHaWAunWWJz4w/mnCSFbdIkbDVKV5rq4xYjmbiZd2aPnDUNXlbFJf0WyXEVqA1Cou_nFrTkQPyebyn8hhOqw3s319JkyOR7cQvn7V01nCFcZhdl9tjr-PZPFo/joPGbrg_jDT-FdYeGd40R34pChDiozKMDPuzXA5B82w)
Unilever,Large multinational consumer goods company (see The Vegetarian Butcher). ,Plant-based,"Meat,Dairy,Eggs",End product formulation and manufacturing,"Milk,Cheese,Other dairy,Ground meat,Other meat",Beef/veal,"Pea,Coconut,Soy,Wheat",Europe,United Kingdom,,London,https://www.unilever.com/,1929,,Unilever.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/48s8OEbSQGeGFHxsgnPtfA/QRmGdtovrAdsK8rL0rBGpzSX-gz3WW0joBG4k2yXUNdSaF0JLzK5ejTTzHvH_MA9m71gOswT_wMMg6a1fgxRQ7H0NolsD_bR1siRHqlSg0M/FV3RnOy9V_TCJPCMhMjogyhrRWnrw9Hw7_EGUsg_zZc)
"One
  Planet Pizza",UK's leading frozen vegan pizza.,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Coconut,Potato",Europe,United Kingdom,,,https://www.oneplanetpizza.com/,2016,Mike Hill,logo_black_circle.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/168Kg_W2xmRM7hjvETXgmg/40vdXz7HP9ESooJ62ChX9_lqGjaRjYQT_44u0n06uLa7XTH9R39WowqKPwxhbe3KrF6E6W9tbwSsu_mcOIcDlYJ8kP7MtohPJOXTPZmdd90/qmqaRteqLpdmU_SN5Ne0eOoxONa2ligHY2oZ75sZE1Q)
Lactasoy,"Soy milk company based in Thailand. 
",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,Asia Pacific,Thailand,,Bangkok,https://www.lactasoy.com/en/,1981,,lactasoy_logo2019.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/89T3S8ma1V0ZEGbcUC4lvw/huMXq9tgms2_Cgb5P4R9zjlogw5TkhDInhoNjrM2YV20Zbk3Dx8l2pai0J0JaxyLzFesbGAcJY4u1EPs1LYQ1LWYv26_Gx6IAubOdTwvxVA/m1rP8s3wh1hMZ47u0mpMv-o2LAXetVoSC51KTm66ImU)
"The
  Mlk Co.",Singapore-based makers of almond milk: 100% Raw. Vegan. Gluten-free. Pesticides-free.,Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Cashew,Macadamia",Asia Pacific,Singapore,,Singapore,https://themlk.co/,2022,,mlk.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/xZIJo9AHs8btrOPpnDLU1g/_1mlUEI__kEyUwhuUfpsZYljr-rzRoT-XTzsaoBzMO35jngyWuVDBtkoLpOqT-9V3SM7r1h1Fyj8BLBtGsxxKg/0Ghj4Ad3aaicWH4mf6c4JeU8fricunc0VHdMacND66M)
"Somenoya
  aka Someno's",Japan-based company that produces soy-based meat products. ,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Chicken,Pork,Beef/veal",Soy,Asia Pacific,Japan,Tokyo,Chuo,https://www.someat.net/,1862,,someno.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qDOZxUU4VjHh7IcgZ1NliQ/Z0TtrX2foAsGy2MwPBkNU0vYWT-X6BfZGgrfo36h7LU0MXY5tQ1txqQ44SD_bJ6C6ot-HQbXgq1Ygp5llbFYQl1GE3EfRFkTNMwbyn46hv0/wEN_GrbstteflHLDyF4TS4ElvdBoB7MJjw0ZthGkKxo)
"Sgaia
  Foods",UK-based producer of alternative meat products from a mix of wheat and either pea or soya protein.,Plant-based,Meat,End product formulation and manufacturing,Other meat,"Beef/veal,Pork","Wheat,Soy,Pea",Europe,United Kingdom,Renfrewshire,Paisley,https://www.sgaiafoods.co.uk/,2015,Alberto Casotto,sgaia.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_I7F7G1JBbD8yieREHp4Eg/3BOAQ-uUSWbBrrYwTp2DOKzfbJxzDiT7Fytx8SQgEix1Sgxtvvt4SCuDjWSZ8vjMJoEEm0QkxiIcmP0asgBcBi-p4st2Q0xFjL2UKqgO-R8/8iIMBBIw_PKSvEozJ4rO1jJbDe-VXoebI_isX3WdbUk)
Granose,UK-based producer of plant-based meat dry mixes. ,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat",Beef/veal,Soy,Europe,United Kingdom,,Leeds,https://granose.wordpress.com/,2019,,granose.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-sqYb9viXyQZWe6EzNgnxA/cDw5rwrvqsvZbKg9rFnI2tbTs87LFVgmDAaAICPPMYwDKhnKpoSpduinI6I9tmFjZRWDBcl643-0jXy45dJ7n7K0ZniNCIx703ZSTipnSEg/kHIkpz-c3xdX3fsZJ81a9hRCu0uM7irmrrQXrCSfbsg)
GreenVie,Cyprus-based company that makes wide range of vegan cheeses.,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Coconut,Europe,Cyprus,Lemesos,Limassol,https://www.greenviefoods.com/,2016,,greenvie.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LQqHamn6tlkj9RkQTVhE9A/K4HU1N5fI5z77U01e6rl3eA_aemyPvwk0QPcSgFk0QhNs1QLjw2_piC42uHtm7GhRz8dftAcsWCy5JxxG-VvcBpIQFpAVRwsl1zs7Xn9mko/wZz57wkjoxFg4oz1c_PQBx2mXz6eDigTpK8Ii9HQQN4)
"La
  Veggisserie",France-based company producint vegan ice cream and macaroons.,Plant-based,"Other,Dairy",End product formulation and manufacturing,"Other dairy,Other",,Rice,Europe,France,,Saint-Arnoult,https://www.la-veggisserie.com/,2015,Audrey and Timothée Debièvre Hellio,180615_VEGGISSERIE_WEB_LOGO.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/FjkdyNDpkmiuA4UxZ_j2Lw/Ww95D3EJdOMJ4B4hzi77BQaepXZ2joX8SjTgsaUaXmM8KRK2_Xbr2XMgzjth1uTt4ZTkDjjEWuRkdT_VAi_Pc_1iNMMNop5HwxHjGU733I2gjurzaCP9Fy5F333Zf0vR/-aejD8LvyPMuRu04I-CuSZBJ9vqWHixGDRO9470vZjc)
"Milk
  Up",Indonesian producer of dairy products that also makes a vegan coconut-based yogurt.,Plant-based,Dairy,End product formulation and manufacturing,"Other dairy,Milk",,"Coconut,Almond,Cashew",Asia Pacific,Indonesia,,Bali,https://milkupbali.com/,2017,,milkup_logo_161x90-01_150x.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qF3yPBM-oqPt41Puv4XmEA/Grffz28Q4WYO0bW6xlpxJlYURGZ2_h6AUD3FtoitDbVHDCziFB-72Tw8ADviIyNZkNh-tliYJH0s7kya4oNpgNIuatS4RTHB95AqphziO1CJIVfarGbot1mIHNIwyKMt/5PnPB2EfeB-f7fsWaiuOYo8Cv2FX_uM7vKxRd_3vtqs)
"Sineafoods
  s.r.o.","Czech-based brand of plant-based meat, cheese, and snack products.",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Other meat,Cheese",,Lupine,Europe,Czech Republic,,Brno,https://www.sineafoods.com/cs/,2016,Viktor Ruzicka,sinea.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/khM131Xx1WZ9Xs1PyZY7BQ/UWhmxO7loUgPblELGTb8NIpZrRNt6Gq3j_y5bosBxmuzacqfYFUPB-B5e9QQjtTFUei7yH-JBkICLTUYDlqPKq-R-Lgrt68CrCzbZIsGPm4/x3qfYBlmMoI-lYt1qjbxrozK-RERoEOgaiLvwB2lEqk)
"Laticínios
  Jussara","Brazilian producer of conventional dairy along with a few soy beverages. 
",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,Latin America,Brazil,Sao Paulo,Patrocínio Paulista,https://www.leitejussara.com.br/,1954,Amélio Rosa Barbosa,logotipo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/STbnsVQcYocWvg4OYs19MQ/9QdtKFA5xokVLLnF3FFj6gK9PegOUfIIklqHyEyRI6KXT8DhhJ6xYtUA_8h4kj2W0fvGa2_DT2pOn1RVzwebppRoFb9hAs1PsVGJzUeurUM/D0K8uWsa13FWnou2GHWLzkjH3ckR06zgfy0KTZ4GDoM)
"Sosmix
  Protoveg",UK-based brand of vegetarian sausage mix. ,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,,Europe,United Kingdom,,,http://www.sosmix.com/,,,sosmix.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-uelt4NPnNF3bRSsWsZBkw/1X3R3U4HQGlXRwrgFbohwr0knPMwUcowkWfnNChK56zJS20_bxK9AY7nqLcrkDYwdQxPYKdif_5SThTlpdV8uO0FT_jBxNn6xIqf_Op0TjU/IYiWLukJ6-_Vxj01xE6GjGyiEV2jV4LqJgDWnJNU844)
Upfield,"Netherlands-based conglomerate of brands, most of which produce plant-based dips and spreads. ",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,,Europe,Netherlands,,Amsterdam,https://upfield.com/,1871,,Upfield.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zzQJQmiiB0E1xZ2kd93u1Q/K-OFFbX9xOdu3akldUAd930iVi9NMU-6xsi1hFwCVZ_50R8kUDJaYY2tUu34XfQKJc2bzY-Pt4sl8Sf-fMpASZPA29Ouc4JGWSF-T0qk-Ck/JXsIWMINXDAQOUdHiJh9ba4W0Wh3UdYdaxgway_zp4E)
Yeo's,"Singapore-based company that makes sauces and beverages, including a line of soy milk.",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,Asia Pacific,Singapore,,Singapore,https://yeosusa.com/,1900,,yeos.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/XmBUiRdh62T2czPMVE2lEw/qFOAuNcKJPtYxJjIq7dluNYFFSbeQnxtjjDYLQ-f7iqGVtbtbwSq99gZOWCOo5UU_kkZ_3UuHYEP9Mqh2W5_rg/K3UXY68oEPR4yQmRYgNdpd7anPK-OVFaugIYDXeBofg)
"Natur
  Green","Spanish company that produces various plant-based food products, including dairy and egg replacements.",Plant-based,"Dairy,Other,Eggs",End product formulation and manufacturing,"Milk,Other dairy,Other",,"Oat,Quinoa,Soy,Coconut,Rice,Buckwheat,Tapioca,Almond,Cashew",Europe,Spain,,Murcia,https://naturgreen.es/en/,1991,,logo_ng_header3.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/h99EsHOu2OXPVCJ2-QTpGw/q_SyLZclBHRXNjsKnR0ilV-c6PM_T0U0M44DM2V3DyuPUEDidoKh2yyWCm9oeMbf2f_zBFlMCwYezWYF8aJQ37DJHoO1lXKIyZPCqykmmhA/h_m6Xbo9jNqY1sSMWFR1r66JXMTAUCMPOg-qszjVkAY)
"Meica
  Ammerländische Fleischwarenfabrik Fritz Meinen GmbH & Co. KG",German sausage maker that also offers vegetarian options. ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Pork,,Europe,Germany,Niedersachsen,Edewecht,https://www.meica.de/,1908,,logo-header.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wZIMJ1ezQ_6Y-lR5qsMuig/y5y8gAx_3knlFcbCCCR2bcKAAxM1XPIRhOfr35ZJRC-fNKRchjqiU4ZATW4GRUcCPYeSbdapjnDk9nTdXeQIFn5qlfy8dHil83suFOsMjP0/vdY0d46Y_m_7lfz6hfeyzXM3xtDMvX96_uwJHN2_BeQ)
"White
  Cub",Plant-based ice cream company based in India. ,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Almond,Asia Pacific,India ,,Gurugram (Gurgaon),https://whitecub.in/,2012,,whitecub.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/x7CWCjhRBRolGVmR0cyHow/DONETummgVialGUcA27kjV5x8DISngINedXyViu23dh2EHIBQ7dF224vgiyOt1zYblzRoNmbVIFtkQZoPxJVpcFug29lhhWZVY_KQ7GsOEg/q-B60vhd6Cvd5b0ecs01ZpvwtIt7ZJNos_COHRKRl0Y)
"Rebel
  Kitchen",Producers of cashew and coconut based milk and milkshakes.,Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Coconut,Cashew","Europe,Asia Pacific",United Kingdom,,London,https://rebel-kitchen.com/,2014,Tamara Arbib,RK_Logo_Ext_NoWall.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zjvnpo4M9mnlIkTJWag3oQ/1uKDZLirqgkvSmKOYck4yBaAi66C7IjWBUoFILM_uiLYzqss0vpW9cWOy5sGCenAw9piGw2GKBfSKw_PaEbNlFd0r8pT4UlH1dZ0oBiv8g4/MIFG7aW9loQYEY9vUs6r2B6-rS4-lhzNtRtRG2DnilQ)
"Pokka
  Sapporo",Japan-based food brand conglomorate with a line of multiple soy products including soy milk.,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,Asia Pacific,Japan,,,https://www.pokkasapporo-fb.jp/english/,1977,,logo (1).svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EfDFkdJxuvS3SUtyMhOBfw/n2s6YvZK6A0W32ai5zZjTJUG6MWxGLUCHvQNraKoAinZ67OZMKta-tJiFXso_s8TKql6dZHu-8lSLVYhufQDu0T7_gD7-LQymL6JZP1_z20/3SSwXV-ibkmWOOFlmk3pqeSeQcRIJQJeJXwprAuKpos)
NoMoo,"Brazilian producer of cashew cheese, butter, and mayo.","Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,"Other dairy,Cheese",,Cashew,Latin America,Brazil,,Rio de Janeiro,https://www.nomoo.com.br/,2016,Nathalia Pires,nomoo_logo_02-1.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/IUzdSaAj4ASd46DWYzIWTA/hFGm9GfrA4L72P4r1voi4BFOx1aj2LahXgm-hlZFTLuxPLYzqtqiHvT7j2CaA2J2ztnOl1GrIL9TlwLJs2nyZPiVZKTqGtpr0yKMdruLC1E/yP86RMnq0n0iDgwohGlQuW3pBp75jlqu6ZUZIbS_JUY)
"Nature's
  Charm","Thai company that produces vegan dessert toppings, including coconut-based condensed milk and whipping cream. ",Plant-based,"Dairy,Other",End product formulation and manufacturing,"Other dairy,Other",,Coconut,Asia Pacific,Thailand,,,https://www.naturescharmveganproducts.com/,2014,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/RcQqb0Lqumh2W01cnzwOQw/hxpcwjg_s0l0y0EI3ubX8goxBSKyC2-l1_3PwP-XkhKuyvjfKws3CU-kbNQJAvwhO46onUU1rz_OfF0mkjMjDhYVTHA9EXvwGO-UUNsN7U8/k67tNKRHBTdfDiCdDDiCmPIaU5U3yGH6STxZIuRalZg)
"Hochland
  SE","Germany-based company that produces cheese, including some plant-based options.",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Almond,Europe,Germany,,Heimenkirch,https://www.hochland-group.com/en/index.htm,1927,"Georg Summer, Robert Reich",hochland-logo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/4gQcHUj49jFJI5qcEGq-rw/OreHZSHivNfFXkNKOlNXr3DoWVD0myg8oTbRH4ZMpzLkvIheThuIvgJEcx8AxpBpv3J8_hdLGStTa9yKsxi4yaeIMY1ZQe-sIDqf4MeRUOE/D_hIizILsP_nA02c2QddcXiRxXtBrcsYLlHLhmLwQmQ)
Sojade,France-based plant-based yogurt producer.,Plant-based,Dairy,End product formulation and manufacturing,"Other dairy,Milk",,"Soy,Hemp,Rice",Europe,France,Ille-et-Vilaine,Noyal sur Vilaine,https://www.sojade.co.uk/,1950,,sojade.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/p6tD4AKd5xw9q_jw5Ap9SQ/agW8c_-RdSJsR4KYvrauJbDUJeewMlvDN6VH_26j3JHgGftkbhrRfcfOVQOCJVlWDNkELqeV9wAMlbfKWNVTyHt11tRjC2bczN0Y5RswyGg/3hC1ltrpuYyBxd4Q_UC_ZWkXT9JW3VjTwuC8ecSP-AA)
"Hebei
  Cofco BV","Netherlands-based company that supplies nuts, superfoods, and seeds.",Plant-based,Other,End product formulation and manufacturing,Other,,Peanut,Europe,Netherlands,,Barendrecht,http://www.hebeicofco.com/home.html,1993,,hebeicofco.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/QistmrM_xe99TgjlkPVGCg/h8BWZ0OaiM9Ed7MrviKOMKxifruV387KInWQGRcGyZWWUb0TKJmJ0nl-XWOsednDp74TuE_i0nMD6Rx3GVgzBrkZ_nh0x1KnV5psEpT2Iic/AzY6y8TbDsO7m5cU_B6cTJ_9NaxnEJlm3Oeuv1eQ5PE)
"Purvegan
  Alberts","German company that makes plant-based meat products under the brand name ""Alberts.""",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Pork","Lupine,Hemp,Wheat,Soy",Europe,Germany,Rheinland-Pfalz,Ramsen,https://www.purvegan.de/,2007,,Screen Shot 2021-01-26 at 5_07_59 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yv-V9pAba-cNJ0yzwya7Qg/mdAXFkXGbnMbEbrItDPEfNt1A5G_WRv9fG2KQlnfP1yNA1dRjPc1SfRwdMXZF_q2iuT_RTmvUYheMwrrIDNjEbbfwYsfZvjMnmSbrC3_C41igYefcQ3dc1CveB1yQK8p/CAH054QdLklQKHLvIb6eLINBcb_5moYr5RE1Hc0uPGo)
"The
  Bridge (La Famiglia Organic)","Italian maker of plant-based milks, creams, and desserts.",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Almond,Soy,Oat,Buckwheat,Coconut,Quinoa,Other,Rice",Europe,Italy,,Vicenza,https://thebridgebio.com/la-famiglia-organic/,1994,,thebridge.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ybP_cMKLVDj5PHxYmyqWtg/d3EmiCRLjoq9bdZviqO8uG2J7TzTRbM1WSpBCQ7JwfuPmNVWyvNcFLMyKRgfTso05OeV8u-H4LC6uP1LYUihGcTl2Mb99pc9GLqsKov7uFA/UDqM64H4YY9kUpqJ1j0_zD7ejqgTsnTpo_4PeZPZOgY)
"The
  Booja-Booja Company Central Europe Ltd.",German comoany making vegan and organic ice-cream and chocolate truffles.,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Cashew,Europe,Germany,,Freiburg,https://boojabooja.com/,1999,,booja.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/jK7tttdFtC-F_w36TG_L5w/jUPKfm8MksegG0-TTrYys5VFMP5xlX_-Tw8ugr0Z-Ry9sAJQSjhfb6nNn7vB1ZFXYusJAFN6rKyRMDkbLTcKb8GSARItxjcn0HIVrx8Jc-E/AGHD3glohswHIGUpKtMWXW2l6SyC_ZAU-kCjN3_IwI4)
Vitaquell,"German company that makes plant-based meat, dairy, and mayo alternatives.",Plant-based,"Meat,Dairy,Eggs",End product formulation and manufacturing,"Other meat,Other dairy","Beef/veal,Pork,Turkey","Pea,Oat,Cashew,Macadamia,Hemp,Soy",Europe,Germany,,,https://www.vitaquell.de/,1922,,vitaquell.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/75Uj2R2Uu6zEcHmSLDdIVQ/zrTRqlNnDw4ubpOx63Cb2FY1CmhUJv_YydENRY1rF0NbWqgXy1y5pl_l0p0QrVetJZM1h_bncWi35ov7AZaCulsI0UfG_a69Ou7FgbrAWOA/tk56087SFC5LgRkUPC4KrAwpEK7VSKElJMpUuKXjS8c)
"Valsoia
  S.P.A.","Italian conglomerate of producers of plant-based milk, desserts, burgers/cutlets, ice creams, yogurts, cheeses, mayonnaise, and cooking creams. ",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Milk,Cheese,Other dairy,Eggs,Ground meat,Other meat",,"Soy,Wheat,Almond,Oat",Europe,Italy,,Bologna,https://www.valsoiaspa.com/en/,1990,,Valsoia.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qVnZDBgzC0rD3D93VLW_BQ/P6vbWd1x5poiAxwsqTHXJleXJLPR8v-xEdffViOuiQSwaKCAOMRIctAtGAHl5BQIbLrVrMxAg8E5lQKO9qYO1MEb0m7y7peDZ7cDWlBNA9A/abCFAg8MZvgNITdfJcINusw3G3D6Phn7EdhLYLQaacw)
"Veggi
  Filata","Produce vegan alternatives to cheese in Germany. 
",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,,Europe,Germany,,Bad Bramstedt,https://www.filata.de/,2013,,veggi filata.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5f76VtLECi_ClyPtBrgRHQ/W12f1945KYoyXu8Q7wVJM3d-Si2kUDuz5lBE-ByKkurNNNEOdrVA0ITLwzf_MWUb-jpSob9-ws3j8VbKsfFufR8R4evUUPByT6kkiYhBHDg/Gn77nPFV627SdNvrrH-rIkD1FtefKLmPEkTjZcdyG2I)
"Perfect
  World",UK-based producer of healthy vegan ice cream.,Plant-based,Dairy,End product formulation and manufacturing,,,"Coconut,Almond,Cashew",Europe,United Kingdom,Kent,Tunbridge Wells,https://www.perfectworldicecream.co.uk/,2012,Chris Conklin,Screen Shot 2021-01-26 at 2_53_49 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WNwOyDdZ77Fzlp6E8P9gIw/hWng4scrXjNnjJL_w3Yuoy7Y4rkhu7EaA_loY9WkeWLKBV8h2Xym72PuLPffjaMZzf2SjO3AUNwXO09Wf-EfdqS1DnUKuY9gpIE_XK9mBDBiQEIKVzNfS17z77j6feiP/jlUew5CMie-RzJsYz2MSbXrlkAUOl_8aqSs9SQxn13k)
ProLaTerre,"Netherlands-based producer of soy chicken, beef, and pork products.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Pork,Beef/veal",Soy,Europe,Netherlands,,Landgraaf,https://www.prolaterre.com/,,,logo-prolaterre-460x260.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/n_X0GFLPH3f7v08UnFYWDA/U_1ntU1nVNYZgQUF4O_glp9_Kdi0OBDddRJW2PTSfv2TmWO5wvgBjH6ZISkLv5_X0bav_tyNLiDwbGbPiwpB8_SihbR6_Cs_YrO8j70t2T8QYy6sQPEewEoDUlT4hh3k/V0kZNPXFTkkhTweuTLkoi2r9e-owG2cjMXJAFTEsH1w)
Vegecheese,Spanish maker of vegan cheeses.,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Coconut,Europe,Spain,Castellón,Segorbe,https://www.vegecheese.com/en-gb/home,2013,,vegecheese.PNG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/C_bb2ZuUhFYWUGMkWXRLEA/KPxpgaU1SXBzTJ-AkeSHB6V6vUypm80gJQwELY_UEso9BvOIqLqB8cH-gmGwsc3D9nBLWGvldX4d20XzMHIJZhj7kDbl1LzoRnKqdpYFypQ/j1Y3LEE9IjdPBNi3ZqOY58akOZexnYLyGyQXMlQw3Ek)
"Hennig-Olsen
  Is","Norway-based company that produces ice cream, including some vegan options.",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Almond,Europe,Norway,,Kristiansand,https://www.hennig-olsen.no/en/,1924,,hennig-olsen.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1_JvmKJxACoeTm7gJEiZZg/s9LEzDUOqAoaK6pJgMTWM_AopLt0iXUdvzghRA4_6aXV5SSytyCv8ib1qWf7guAj87xUni895ovxDSuk5vTiwcXTvUQUHMImknby0XH48xg/qMyf7eKtQpU6WdKxZMS4BQ1-g2VMpD4AeJCaJLiBB-s)
